Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,5,0.01,0.01,0.6050833665223869
75% Corpus,5,0.01,0.31,0.6065895333254394
75% Corpus,5,0.01,0.61,0.611060859884428
75% Corpus,5,0.01,0.9099999999999999,0.611060859884428
75% Corpus,5,0.01,symmetric,0.6050833665223869
75% Corpus,5,0.31,0.01,0.593366294151948
75% Corpus,5,0.31,0.31,0.6031305751832358
75% Corpus,5,0.31,0.61,0.6114181342360303
75% Corpus,5,0.31,0.9099999999999999,0.611060859884428
75% Corpus,5,0.31,symmetric,0.5964147474592492
75% Corpus,5,0.61,0.01,0.593366294151948
75% Corpus,5,0.61,0.31,0.6000107806599924
75% Corpus,5,0.61,0.61,0.6031305751832357
75% Corpus,5,0.61,0.9099999999999999,0.6031305751832358
75% Corpus,5,0.61,symmetric,0.5964147474592492
75% Corpus,5,0.9099999999999999,0.01,0.591699058351555
75% Corpus,5,0.9099999999999999,0.31,0.603058782028026
75% Corpus,5,0.9099999999999999,0.61,0.603058782028026
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.5670661398572434
75% Corpus,5,0.9099999999999999,symmetric,0.603058782028026
75% Corpus,5,symmetric,0.01,0.6050833665223869
75% Corpus,5,symmetric,0.31,0.6114181342360303
75% Corpus,5,symmetric,0.61,0.611060859884428
75% Corpus,5,symmetric,0.9099999999999999,0.611060859884428
75% Corpus,5,symmetric,symmetric,0.5964147474592492
75% Corpus,5,asymmetric,0.01,0.6050833665223869
75% Corpus,5,asymmetric,0.31,0.6064371489160002
75% Corpus,5,asymmetric,0.61,0.6114181342360303
75% Corpus,5,asymmetric,0.9099999999999999,0.6114181342360303
75% Corpus,5,asymmetric,symmetric,0.5964147474592493
75% Corpus,6,0.01,0.01,0.5375409673746875
75% Corpus,6,0.01,0.31,0.532447721827082
75% Corpus,6,0.01,0.61,0.5450025607964395
75% Corpus,6,0.01,0.9099999999999999,0.552335324895623
75% Corpus,6,0.01,symmetric,0.5444693701592879
75% Corpus,6,0.31,0.01,0.5373474812016265
75% Corpus,6,0.31,0.31,0.5348407910523828
75% Corpus,6,0.31,0.61,0.5477748887325635
75% Corpus,6,0.31,0.9099999999999999,0.547836941532062
75% Corpus,6,0.31,symmetric,0.537567258307566
75% Corpus,6,0.61,0.01,0.5242225989594594
75% Corpus,6,0.61,0.31,0.5322423600828247
75% Corpus,6,0.61,0.61,0.547179692054933
75% Corpus,6,0.61,0.9099999999999999,0.5582128259844549
75% Corpus,6,0.61,symmetric,0.529516315417606
75% Corpus,6,0.9099999999999999,0.01,0.5349413269574337
75% Corpus,6,0.9099999999999999,0.31,0.5351953924183147
75% Corpus,6,0.9099999999999999,0.61,0.5528889908667826
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.557401167217512
75% Corpus,6,0.9099999999999999,symmetric,0.538757349188541
75% Corpus,6,symmetric,0.01,0.5375409673746875
75% Corpus,6,symmetric,0.31,0.532447721827082
75% Corpus,6,symmetric,0.61,0.5479258105080601
75% Corpus,6,symmetric,0.9099999999999999,0.5525430890447945
75% Corpus,6,symmetric,symmetric,0.537567258307566
75% Corpus,6,asymmetric,0.01,0.5481200843638324
75% Corpus,6,asymmetric,0.31,0.5354019131761653
75% Corpus,6,asymmetric,0.61,0.5618687683673597
75% Corpus,6,asymmetric,0.9099999999999999,0.5599540813184684
75% Corpus,6,asymmetric,symmetric,0.5348407910523828
75% Corpus,7,0.01,0.01,0.5643624015924071
75% Corpus,7,0.01,0.31,0.5647892486826545
75% Corpus,7,0.01,0.61,0.5771868599641227
75% Corpus,7,0.01,0.9099999999999999,0.575671512806995
75% Corpus,7,0.01,symmetric,0.5576694561780285
75% Corpus,7,0.31,0.01,0.5643624015924071
75% Corpus,7,0.31,0.31,0.5625551287386729
75% Corpus,7,0.31,0.61,0.5710098661862738
75% Corpus,7,0.31,0.9099999999999999,0.583846549850751
75% Corpus,7,0.31,symmetric,0.5576694561780285
75% Corpus,7,0.61,0.01,0.567125096554754
75% Corpus,7,0.61,0.31,0.5635886439689778
75% Corpus,7,0.61,0.61,0.5644190009115756
75% Corpus,7,0.61,0.9099999999999999,0.5838132981106401
75% Corpus,7,0.61,symmetric,0.5611181748167591
75% Corpus,7,0.9099999999999999,0.01,0.5591324239333968
75% Corpus,7,0.9099999999999999,0.31,0.5694652479702691
75% Corpus,7,0.9099999999999999,0.61,0.5847400527754539
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.5736320605358013
75% Corpus,7,0.9099999999999999,symmetric,0.55536808469369
75% Corpus,7,symmetric,0.01,0.5643624015924071
75% Corpus,7,symmetric,0.31,0.5634350102268032
75% Corpus,7,symmetric,0.61,0.5745910398312625
75% Corpus,7,symmetric,0.9099999999999999,0.5772811333826612
75% Corpus,7,symmetric,symmetric,0.5594748535014276
75% Corpus,7,asymmetric,0.01,0.5656673746083054
75% Corpus,7,asymmetric,0.31,0.572940604332014
75% Corpus,7,asymmetric,0.61,0.5774843248097347
75% Corpus,7,asymmetric,0.9099999999999999,0.5894202340113225
75% Corpus,7,asymmetric,symmetric,0.5611181748167592
75% Corpus,8,0.01,0.01,0.5535850185312859
75% Corpus,8,0.01,0.31,0.5578828181146771
75% Corpus,8,0.01,0.61,0.5618355839335166
75% Corpus,8,0.01,0.9099999999999999,0.5585603467648992
75% Corpus,8,0.01,symmetric,0.5583334578493881
75% Corpus,8,0.31,0.01,0.5665139282767944
75% Corpus,8,0.31,0.31,0.5594810066142857
75% Corpus,8,0.31,0.61,0.5612839759245519
75% Corpus,8,0.31,0.9099999999999999,0.5569230103919265
75% Corpus,8,0.31,symmetric,0.5575735030109212
75% Corpus,8,0.61,0.01,0.561404748242188
75% Corpus,8,0.61,0.31,0.5532974932591672
75% Corpus,8,0.61,0.61,0.5621154677299574
75% Corpus,8,0.61,0.9099999999999999,0.5608031432959792
75% Corpus,8,0.61,symmetric,0.5595841579854887
75% Corpus,8,0.9099999999999999,0.01,0.5409859556863359
75% Corpus,8,0.9099999999999999,0.31,0.5594658332977536
75% Corpus,8,0.9099999999999999,0.61,0.56017931293532
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.5518517960909226
75% Corpus,8,0.9099999999999999,symmetric,0.5577722143631196
75% Corpus,8,symmetric,0.01,0.5556163081866428
75% Corpus,8,symmetric,0.31,0.5586435295085429
75% Corpus,8,symmetric,0.61,0.5581414819806401
75% Corpus,8,symmetric,0.9099999999999999,0.5497401358256385
75% Corpus,8,symmetric,symmetric,0.5569108507002212
75% Corpus,8,asymmetric,0.01,0.5645766720478416
75% Corpus,8,asymmetric,0.31,0.5690974455356482
75% Corpus,8,asymmetric,0.61,0.5683423670583982
75% Corpus,8,asymmetric,0.9099999999999999,0.555048092359776
75% Corpus,8,asymmetric,symmetric,0.5572259223182637
75% Corpus,9,0.01,0.01,0.5493437933338616
75% Corpus,9,0.01,0.31,0.5620818177977716
75% Corpus,9,0.01,0.61,0.5450917299527724
75% Corpus,9,0.01,0.9099999999999999,0.5066475990954247
75% Corpus,9,0.01,symmetric,0.5276218743391845
75% Corpus,9,0.31,0.01,0.5534876735167131
75% Corpus,9,0.31,0.31,0.5436587797663989
75% Corpus,9,0.31,0.61,0.5296159160280114
75% Corpus,9,0.31,0.9099999999999999,0.4969747496112567
75% Corpus,9,0.31,symmetric,0.5401761348104096
75% Corpus,9,0.61,0.01,0.5535793412257923
75% Corpus,9,0.61,0.31,0.5248667604600875
75% Corpus,9,0.61,0.61,0.4887434863687114
75% Corpus,9,0.61,0.9099999999999999,0.4964856927278531
75% Corpus,9,0.61,symmetric,0.5386584647440965
75% Corpus,9,0.9099999999999999,0.01,0.558376330247357
75% Corpus,9,0.9099999999999999,0.31,0.5257784153790078
75% Corpus,9,0.9099999999999999,0.61,0.5033520601915182
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.504040323667335
75% Corpus,9,0.9099999999999999,symmetric,0.5585498836606225
75% Corpus,9,symmetric,0.01,0.5439968863239417
75% Corpus,9,symmetric,0.31,0.5639794285540329
75% Corpus,9,symmetric,0.61,0.5544897302698175
75% Corpus,9,symmetric,0.9099999999999999,0.4956550304300877
75% Corpus,9,symmetric,symmetric,0.5276218743391845
75% Corpus,9,asymmetric,0.01,0.5452222134489365
75% Corpus,9,asymmetric,0.31,0.5652470695250776
75% Corpus,9,asymmetric,0.61,0.5540072782477163
75% Corpus,9,asymmetric,0.9099999999999999,0.5081714960439976
75% Corpus,9,asymmetric,symmetric,0.5442632768448805
75% Corpus,10,0.01,0.01,0.5472613440927542
75% Corpus,10,0.01,0.31,0.5496270777142832
75% Corpus,10,0.01,0.61,0.5562733115155897
75% Corpus,10,0.01,0.9099999999999999,0.574283178039984
75% Corpus,10,0.01,symmetric,0.5464771191228458
75% Corpus,10,0.31,0.01,0.5433255002764975
75% Corpus,10,0.31,0.31,0.5495838343658708
75% Corpus,10,0.31,0.61,0.5542552702558151
75% Corpus,10,0.31,0.9099999999999999,0.5554535257649773
75% Corpus,10,0.31,symmetric,0.542154283730995
75% Corpus,10,0.61,0.01,0.5418225905826821
75% Corpus,10,0.61,0.31,0.5467732235670666
75% Corpus,10,0.61,0.61,0.5520248567656316
75% Corpus,10,0.61,0.9099999999999999,0.5468792440578432
75% Corpus,10,0.61,symmetric,0.5436504646523589
75% Corpus,10,0.9099999999999999,0.01,0.5420310913367199
75% Corpus,10,0.9099999999999999,0.31,0.5441079429580753
75% Corpus,10,0.9099999999999999,0.61,0.5449387779794569
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.5472026971094497
75% Corpus,10,0.9099999999999999,symmetric,0.547636841947152
75% Corpus,10,symmetric,0.01,0.5463252504285397
75% Corpus,10,symmetric,0.31,0.5487869467965709
