Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,3,0.9099999999999999,symmetric,0.705582272961454
75% Corpus,3,symmetric,0.01,0.705582272961454
75% Corpus,3,symmetric,0.31,0.652812402184111
75% Corpus,3,symmetric,0.61,0.652812402184111
75% Corpus,3,symmetric,0.9099999999999999,0.6050916962795226
75% Corpus,3,symmetric,symmetric,0.652812402184111
75% Corpus,3,asymmetric,0.01,0.7089688324919575
75% Corpus,3,asymmetric,0.31,0.7108190167905158
75% Corpus,3,asymmetric,0.61,0.7108190167905158
75% Corpus,3,asymmetric,0.9099999999999999,0.6797518138481767
75% Corpus,3,asymmetric,symmetric,0.7108190167905158
75% Corpus,4,0.01,0.01,0.7343312145479053
75% Corpus,4,0.01,0.31,0.695004919336029
75% Corpus,4,0.01,0.61,0.7522046314318189
75% Corpus,4,0.01,0.9099999999999999,0.7527143434475214
75% Corpus,4,0.01,symmetric,0.7279091294833525
75% Corpus,4,0.31,0.01,0.7343312145479053
75% Corpus,4,0.31,0.31,0.7073105740818089
75% Corpus,4,0.31,0.61,0.7161512423709551
75% Corpus,4,0.31,0.9099999999999999,0.7527143434475214
75% Corpus,4,0.31,symmetric,0.7279091294833525
75% Corpus,4,0.61,0.01,0.7353140935981259
75% Corpus,4,0.61,0.31,0.6898247536799142
75% Corpus,4,0.61,0.61,0.6684186080717425
75% Corpus,4,0.61,0.9099999999999999,0.7527143434475214
75% Corpus,4,0.61,symmetric,0.7233399666090217
75% Corpus,4,0.9099999999999999,0.01,0.7353140935981259
75% Corpus,4,0.9099999999999999,0.31,0.6910896876394734
75% Corpus,4,0.9099999999999999,0.61,0.6330570875575239
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.7527143434475214
75% Corpus,4,0.9099999999999999,symmetric,0.7233399666090217
75% Corpus,4,symmetric,0.01,0.7343312145479053
75% Corpus,4,symmetric,0.31,0.7073105740818089
75% Corpus,4,symmetric,0.61,0.719499876820947
75% Corpus,4,symmetric,0.9099999999999999,0.7527143434475214
75% Corpus,4,symmetric,symmetric,0.7279091294833525
75% Corpus,4,asymmetric,0.01,0.7338300389036322
75% Corpus,4,asymmetric,0.31,0.6922496942416445
75% Corpus,4,asymmetric,0.61,0.7518976535888189
75% Corpus,4,asymmetric,0.9099999999999999,0.7463233078428333
75% Corpus,4,asymmetric,symmetric,0.695004919336029
75% Corpus,5,0.01,0.01,0.6887679616870648
75% Corpus,5,0.01,0.31,0.6914369295807979
75% Corpus,5,0.01,0.61,0.6899898071325131
75% Corpus,5,0.01,0.9099999999999999,0.7158334845538346
75% Corpus,5,0.01,symmetric,0.6942496900557638
75% Corpus,5,0.31,0.01,0.6726865714386846
75% Corpus,5,0.31,0.31,0.6821138861227343
75% Corpus,5,0.31,0.61,0.6899898071325131
75% Corpus,5,0.31,0.9099999999999999,0.7338642635029891
75% Corpus,5,0.31,symmetric,0.686718468525948
75% Corpus,5,0.61,0.01,0.6923334556449311
75% Corpus,5,0.61,0.31,0.6899481325305505
75% Corpus,5,0.61,0.61,0.7055353434906595
75% Corpus,5,0.61,0.9099999999999999,0.7303602611865693
75% Corpus,5,0.61,symmetric,0.6899481325305505
75% Corpus,5,0.9099999999999999,0.01,0.6923334556449311
75% Corpus,5,0.9099999999999999,0.31,0.6899481325305505
75% Corpus,5,0.9099999999999999,0.61,0.7042692779796075
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.7319755741541314
75% Corpus,5,0.9099999999999999,symmetric,0.6869814800599964
75% Corpus,5,symmetric,0.01,0.6694894371099231
75% Corpus,5,symmetric,0.31,0.6824585856026973
75% Corpus,5,symmetric,0.61,0.6899898071325131
