Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.31520880634178566
75% Corpus,4,0.9099999999999999,symmetric,0.3357125880363917
75% Corpus,4,symmetric,0.01,0.35004774366950886
75% Corpus,4,symmetric,0.31,0.349132995031179
75% Corpus,4,symmetric,0.61,0.35280402660707133
75% Corpus,4,symmetric,0.9099999999999999,0.3318654613328836
75% Corpus,4,symmetric,symmetric,0.349132995031179
75% Corpus,4,asymmetric,0.01,0.3582835947959895
75% Corpus,4,asymmetric,0.31,0.349132995031179
75% Corpus,4,asymmetric,0.61,0.37308721244333265
75% Corpus,4,asymmetric,0.9099999999999999,0.3318654613328836
75% Corpus,4,asymmetric,symmetric,0.35004774366950886
75% Corpus,5,0.01,0.01,0.597520632352001
75% Corpus,5,0.01,0.31,0.5940671615860527
75% Corpus,5,0.01,0.61,0.5944909755514236
75% Corpus,5,0.01,0.9099999999999999,0.5801029741544899
75% Corpus,5,0.01,symmetric,0.5937647486776638
75% Corpus,5,0.31,0.01,0.6118198274416994
75% Corpus,5,0.31,0.31,0.6101643947371289
75% Corpus,5,0.31,0.61,0.6020059854764366
75% Corpus,5,0.31,0.9099999999999999,0.5834267021568758
75% Corpus,5,0.31,symmetric,0.6089121089223359
75% Corpus,5,0.61,0.01,0.6118198274416993
75% Corpus,5,0.61,0.31,0.6064101760231166
75% Corpus,5,0.61,0.61,0.6106181406873179
75% Corpus,5,0.61,0.9099999999999999,0.5833705245250671
75% Corpus,5,0.61,symmetric,0.6089121089223359
75% Corpus,5,0.9099999999999999,0.01,0.5962817153688427
75% Corpus,5,0.9099999999999999,0.31,0.6064101760231166
75% Corpus,5,0.9099999999999999,0.61,0.6112122172437353
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.5898905489679198
75% Corpus,5,0.9099999999999999,symmetric,0.6089121089223359
75% Corpus,5,symmetric,0.01,0.6118198274416994
75% Corpus,5,symmetric,0.31,0.6101643947371289
75% Corpus,5,symmetric,0.61,0.6020059854764366
75% Corpus,5,symmetric,0.9099999999999999,0.5831735302044017
75% Corpus,5,symmetric,symmetric,0.5937647486776638
75% Corpus,5,asymmetric,0.01,0.6110337757177975
75% Corpus,5,asymmetric,0.31,0.6135244756165787
75% Corpus,5,asymmetric,0.61,0.6157208620281998
75% Corpus,5,asymmetric,0.9099999999999999,0.5846928726644869
75% Corpus,5,asymmetric,symmetric,0.6128675707227788
75% Corpus,6,0.01,0.01,0.6274875288757162
75% Corpus,6,0.01,0.31,0.5416212295053058
75% Corpus,6,0.01,0.61,0.5714764708175578
75% Corpus,6,0.01,0.9099999999999999,0.5890529312638972
75% Corpus,6,0.01,symmetric,0.5414875864512683
75% Corpus,6,0.31,0.01,0.6315019613411381
75% Corpus,6,0.31,0.31,0.5406210722029942
75% Corpus,6,0.31,0.61,0.5733096920233538
75% Corpus,6,0.31,0.9099999999999999,0.5808743108172643
75% Corpus,6,0.31,symmetric,0.5637506170080182
75% Corpus,6,0.61,0.01,0.6424994708396327
75% Corpus,6,0.61,0.31,0.5393829974034161
75% Corpus,6,0.61,0.61,0.5733096920233538
75% Corpus,6,0.61,0.9099999999999999,0.5868630319014286
75% Corpus,6,0.61,symmetric,0.6136449270639162
75% Corpus,6,0.9099999999999999,0.01,0.6479253543143166
75% Corpus,6,0.9099999999999999,0.31,0.542501313679017
75% Corpus,6,0.9099999999999999,0.61,0.5766424477659807
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.5868630319014286
75% Corpus,6,0.9099999999999999,symmetric,0.6355746113759304
75% Corpus,6,symmetric,0.01,0.6251566368941374
75% Corpus,6,symmetric,0.31,0.5352906298736486
75% Corpus,6,symmetric,0.61,0.5669540780510851
75% Corpus,6,symmetric,0.9099999999999999,0.5808743108172643
75% Corpus,6,symmetric,symmetric,0.5482655678329863
75% Corpus,6,asymmetric,0.01,0.6246720804308329
75% Corpus,6,asymmetric,0.31,0.5358702940327725
75% Corpus,6,asymmetric,0.61,0.5684005308083133
75% Corpus,6,asymmetric,0.9099999999999999,0.5917088966054345
75% Corpus,6,asymmetric,symmetric,0.5498052602236604
75% Corpus,7,0.01,0.01,0.5963539121686994
75% Corpus,7,0.01,0.31,0.6266934625928954
75% Corpus,7,0.01,0.61,0.565661221433621
75% Corpus,7,0.01,0.9099999999999999,0.503743317929572
75% Corpus,7,0.01,symmetric,0.6009578530347449
75% Corpus,7,0.31,0.01,0.5951502635115722
75% Corpus,7,0.31,0.31,0.6237287524076284
75% Corpus,7,0.31,0.61,0.5725472303473731
75% Corpus,7,0.31,0.9099999999999999,0.5452499526465857
75% Corpus,7,0.31,symmetric,0.5986188286811537
75% Corpus,7,0.61,0.01,0.5979779219246222
75% Corpus,7,0.61,0.31,0.6126991195514987
75% Corpus,7,0.61,0.61,0.5725577804090667
75% Corpus,7,0.61,0.9099999999999999,0.5381153730319396
75% Corpus,7,0.61,symmetric,0.5954698739997915
75% Corpus,7,0.9099999999999999,0.01,0.5986689857563443
75% Corpus,7,0.9099999999999999,0.31,0.5404884746996215
75% Corpus,7,0.9099999999999999,0.61,0.5788584536489134
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.5534857977317735
75% Corpus,7,0.9099999999999999,symmetric,0.5977149079695488
75% Corpus,7,symmetric,0.01,0.5963539121686995
75% Corpus,7,symmetric,0.31,0.6219231382662185
